Date,Gold,当日涨跌幅,过去5个交易日的方差（不包含当天）,未来5个交易日的方差（包含当天）,过去15个交易日的方差（不包含当天）,未来15个交易日的方差（包含当天）,过去60个交易日的方差（不包含当天）,未来60个交易日的方差（包含当天）,过去120个交易日的方差（不包含当天）,未来120个交易日的方差（包含当天）,closed
2016-09-11,,,,,,,,,,,True
2016-09-12,1324.6,,,7.92191749482042e-05,,7.06423062361212e-05,,0.000253635299594278,,0.000585444248792178,False
2016-09-13,1323.65,-0.0192712941365721,,8.68971422267846e-06,,6.00423415123282e-05,,0.000247535726484986,,0.00058166714840691,False
2016-09-14,1321.75,0.00205028950087752,,2.24852520635247e-05,,5.95911109511256e-05,,0.000253678898446579,,0.000737988019454866,False
2016-09-15,1310.8,-0.0034374386171674,,2.06238527534626e-05,,5.94250214720082e-05,,0.000253429722416833,,0.000738225074180515,False
2016-09-16,1308.35,0.002562333694688,,2.04297850436388e-05,,6.52499529467236e-05,,0.00025362753092448,,0.000764028921069467,False
2016-09-17,,,,,,,,,,,True
2016-09-18,,,,,,,,,,,True
2016-09-19,1314.85,-0.00208067105737407,,7.02219060985455e-05,,7.0158924649618e-05,,0.000253478513182844,,0.000765247357865738,False
2016-09-20,1313.8,-0.00339840094564208,7.92191749482042e-05,7.03848882612926e-05,,6.9935001733042e-05,,0.000252882295680457,,0.000764923340300817,False
2016-09-21,1326.1,0.00747891407485516,8.68971422267846e-06,3.50150962033659e-05,,6.66768275672164e-05,,0.000270376601934522,,0.000765664946691921,False
2016-09-22,1339.1,-0.00227280159586642,2.24852520635247e-05,0.000138339141300753,,6.72595823441002e-05,,0.000271864688176055,,0.00082609931684233,False
2016-09-23,1338.65,-0.00250741572297167,2.06238527534626e-05,0.000138805673512004,,6.7937523056365e-05,,0.000271284568215494,,0.000825777087692842,False
2016-09-24,,,,,,,,,,,True
2016-09-25,,,,,,,,,,,True
2016-09-26,1340.5,-0.0160680839877764,2.04297850436388e-05,8.5723418352891e-05,,5.18237380995893e-05,,0.000280149956171867,,0.000824537652674908,False
2016-09-27,1327.0,-0.00243788405022715,7.02219060985455e-05,0.000107783739746533,,5.35741015379303e-05,,0.000281052554462947,,0.00082453694553844,False
2016-09-28,1322.5,-0.00559070670550018,7.03848882612926e-05,9.13444871602271e-05,,5.19741318077906e-05,,0.000280161279111083,,0.000823814346411132,False
2016-09-29,1318.1,0.0164960948020468,3.50150962033659e-05,4.46625260326182e-05,,3.65658562521527e-05,,0.000277485938040717,,0.000826455223329225,False
2016-09-30,1322.5,-0.00354375041398951,0.000138339141300753,5.44282042002478e-05,,3.49010295160734e-05,,0.000278063272531271,,0.000825983481513193,False
2016-10-01,,,,,,,,,,,True
2016-10-02,,,,,,,,,,,True
2016-10-03,1313.3,-0.00458669857413499,0.000138805673512004,4.26904722016079e-05,,3.48102014574253e-05,,0.000277552230146196,,0.000825695806890709,False
2016-10-04,1283.3,0.0116531436775853,8.5723418352891e-05,3.87078183325344e-05,7.06423062361212e-05,9.5054181527691e-05,,0.000277047188251213,,0.000834386378350972,False
2016-10-05,1269.4,-0.000478579444187863,0.000107783739746533,4.09914429149025e-05,6.00423415123282e-05,9.42848037789242e-05,,0.000278879030627687,,0.000838260050422046,False
2016-10-06,1254.5,-0.00300493668169125,9.13444871602271e-05,4.26898481068741e-05,5.95911109511256e-05,9.43259999564575e-05,,0.000278508648425123,,0.000838060773572342,False
